ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
717,"OR(NOR(XOR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 1]",OR -> NOR -> XOR -> NOR,7.5,11.5,4,1
718,"OR(NOR(XOR(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 0]",OR -> NOR -> XOR -> XNOR,8.5,12.5,4,0
719,"OR(NOR(XOR(NOT(A), C), D), E)","[1, 1, 0, 1, 0]",OR -> NOR -> XOR -> NOT,7,10.5,4,0
720,"OR(NOR(XOR(BUFFER(A), C), D), E)","[0, 1, 1, 0, 1]",OR -> NOR -> XOR -> BUFFER,6.2,9.5,4,1
721,"OR(NOR(NAND(AND(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> NOR -> NAND -> AND,7,11,4,1
722,"OR(NOR(NAND(OR(A, B), C), D), E)","[1, 0, 0, 0, 0]",OR -> NOR -> NAND -> OR,7,11,4,0
723,"OR(NOR(NAND(XOR(A, B), C), D), E)","[1, 0, 1, 1, 0]",OR -> NOR -> NAND -> XOR,7.5,11.5,4,0
724,"OR(NOR(NAND(NAND(A, B), C), D), E)","[1, 0, 1, 0, 1]",OR -> NOR -> NAND -> NAND,6.5,10.5,4,1
725,"OR(NOR(NAND(NOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",OR -> NOR -> NAND -> NOR,6.5,10.5,4,1
726,"OR(NOR(NAND(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",OR -> NOR -> NAND -> XNOR,7.5,11.5,4,1
727,"OR(NOR(NAND(NOT(A), C), D), E)","[0, 1, 0, 1, 0]",OR -> NOR -> NAND -> NOT,6,9.5,4,0
728,"OR(NOR(NAND(BUFFER(A), C), D), E)","[1, 0, 0, 0, 1]",OR -> NOR -> NAND -> BUFFER,5.2,8.5,4,1
729,"OR(NOR(NOR(AND(A, B), C), D), E)","[0, 0, 1, 1, 0]",OR -> NOR -> NOR -> AND,7,11,4,0
730,"OR(NOR(NOR(OR(A, B), C), D), E)","[1, 1, 1, 1, 0]",OR -> NOR -> NOR -> OR,7,11,4,0
731,"OR(NOR(NOR(XOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",OR -> NOR -> NOR -> XOR,7.5,11.5,4,0
732,"OR(NOR(NOR(NAND(A, B), C), D), E)","[0, 0, 0, 1, 1]",OR -> NOR -> NOR -> NAND,6.5,10.5,4,1
733,"OR(NOR(NOR(NOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> NOR -> NOR -> NOR,6.5,10.5,4,1
734,"OR(NOR(NOR(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 0]",OR -> NOR -> NOR -> XNOR,7.5,11.5,4,0
735,"OR(NOR(NOR(NOT(A), C), D), E)","[0, 0, 1, 1, 1]",OR -> NOR -> NOR -> NOT,6,9.5,4,1
736,"OR(NOR(NOR(BUFFER(A), C), D), E)","[0, 0, 0, 1, 0]",OR -> NOR -> NOR -> BUFFER,5.2,8.5,4,0
737,"OR(NOR(XNOR(AND(A, B), C), D), E)","[1, 1, 1, 0, 0]",OR -> NOR -> XNOR -> AND,8,12,4,0
738,"OR(NOR(XNOR(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> NOR -> XNOR -> OR,8,12,4,1
739,"OR(NOR(XNOR(XOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",OR -> NOR -> XNOR -> XOR,8.5,12.5,4,1
740,"OR(NOR(XNOR(NAND(A, B), C), D), E)","[0, 1, 0, 0, 1]",OR -> NOR -> XNOR -> NAND,7.5,11.5,4,1
741,"OR(NOR(XNOR(NOR(A, B), C), D), E)","[1, 0, 0, 0, 0]",OR -> NOR -> XNOR -> NOR,7.5,11.5,4,0
742,"OR(NOR(XNOR(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",OR -> NOR -> XNOR -> XNOR,8.5,12.5,4,1
743,"OR(NOR(XNOR(NOT(A), C), D), E)","[0, 1, 1, 1, 1]",OR -> NOR -> XNOR -> NOT,7,10.5,4,1
744,"OR(NOR(XNOR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 0]",OR -> NOR -> XNOR -> BUFFER,6.2,9.5,4,0
745,"OR(NOR(NOT(AND(A, B)), D), E)","[1, 0, 1, 0, 1]",OR -> NOR -> NOT -> AND,6.5,10,4,1
746,"OR(NOR(NOT(OR(A, B)), D), E)","[1, 1, 0, 1, 1]",OR -> NOR -> NOT -> OR,6.5,10,4,1
747,"OR(NOR(NOT(XOR(A, B)), D), E)","[1, 1, 0, 0, 0]",OR -> NOR -> NOT -> XOR,7,10.5,4,0
748,"OR(NOR(NOT(NAND(A, B)), D), E)","[0, 0, 1, 0, 1]",OR -> NOR -> NOT -> NAND,6,9.5,4,1
749,"OR(NOR(NOT(NOR(A, B)), D), E)","[1, 1, 1, 0, 1]",OR -> NOR -> NOT -> NOR,6,9.5,4,1
750,"OR(NOR(NOT(XNOR(A, B)), D), E)","[1, 0, 1, 0, 1]",OR -> NOR -> NOT -> XNOR,7,10.5,4,1
751,"OR(NOR(BUFFER(AND(A, B)), D), E)","[1, 0, 0, 1, 0]",OR -> NOR -> BUFFER -> AND,5.7,9,4,0
752,"OR(NOR(BUFFER(OR(A, B)), D), E)","[0, 0, 1, 0, 1]",OR -> NOR -> BUFFER -> OR,5.7,9,4,1
753,"OR(NOR(BUFFER(XOR(A, B)), D), E)","[0, 0, 0, 0, 0]",OR -> NOR -> BUFFER -> XOR,6.2,9.5,4,1
754,"OR(NOR(BUFFER(NAND(A, B)), D), E)","[1, 0, 0, 0, 1]",OR -> NOR -> BUFFER -> NAND,5.2,8.5,4,1
755,"OR(NOR(BUFFER(NOR(A, B)), D), E)","[1, 0, 1, 1, 1]",OR -> NOR -> BUFFER -> NOR,5.2,8.5,4,1
756,"OR(NOR(BUFFER(XNOR(A, B)), D), E)","[1, 0, 1, 0, 0]",OR -> NOR -> BUFFER -> XNOR,6.2,9.5,4,1
757,"OR(XNOR(AND(AND(A, B), C), D), E)","[1, 1, 1, 1, 1]",OR -> XNOR -> AND -> AND,8.5,12.5,4,1
758,"OR(XNOR(AND(OR(A, B), C), D), E)","[0, 0, 0, 1, 1]",OR -> XNOR -> AND -> OR,8.5,12.5,4,1
759,"OR(XNOR(AND(XOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",OR -> XNOR -> AND -> XOR,9,13,4,1
760,"OR(XNOR(AND(NAND(A, B), C), D), E)","[1, 1, 1, 1, 1]",OR -> XNOR -> AND -> NAND,8,12,4,1
761,"OR(XNOR(AND(NOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",OR -> XNOR -> AND -> NOR,8,12,4,1
762,"OR(XNOR(AND(XNOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",OR -> XNOR -> AND -> XNOR,9,13,4,1
763,"OR(XNOR(AND(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",OR -> XNOR -> AND -> NOT,7.5,11,4,1
764,"OR(XNOR(AND(BUFFER(A), C), D), E)","[1, 0, 0, 0, 1]",OR -> XNOR -> AND -> BUFFER,6.7,10,4,1
765,"OR(XNOR(OR(AND(A, B), C), D), E)","[1, 1, 1, 1, 0]",OR -> XNOR -> OR -> AND,8.5,12.5,4,1
766,"OR(XNOR(OR(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> XNOR -> OR -> OR,8.5,12.5,4,1
767,"OR(XNOR(OR(XOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",OR -> XNOR -> OR -> XOR,9,13,4,1
768,"OR(XNOR(OR(NAND(A, B), C), D), E)","[0, 0, 1, 1, 0]",OR -> XNOR -> OR -> NAND,8,12,4,1
769,"OR(XNOR(OR(NOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",OR -> XNOR -> OR -> NOR,8,12,4,1
770,"OR(XNOR(OR(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",OR -> XNOR -> OR -> XNOR,9,13,4,1
771,"OR(XNOR(OR(NOT(A), C), D), E)","[0, 0, 0, 1, 1]",OR -> XNOR -> OR -> NOT,7.5,11,4,1
772,"OR(XNOR(OR(BUFFER(A), C), D), E)","[0, 0, 1, 1, 0]",OR -> XNOR -> OR -> BUFFER,6.7,10,4,1
773,"OR(XNOR(XOR(AND(A, B), C), D), E)","[0, 1, 0, 1, 0]",OR -> XNOR -> XOR -> AND,9,13,4,0
774,"OR(XNOR(XOR(OR(A, B), C), D), E)","[1, 1, 0, 1, 1]",OR -> XNOR -> XOR -> OR,9,13,4,1
775,"OR(XNOR(XOR(XOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",OR -> XNOR -> XOR -> XOR,9.5,13.5,4,1
776,"OR(XNOR(XOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> XNOR -> XOR -> NAND,8.5,12.5,4,1
777,"OR(XNOR(XOR(NOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",OR -> XNOR -> XOR -> NOR,8.5,12.5,4,1
778,"OR(XNOR(XOR(XNOR(A, B), C), D), E)","[0, 0, 1, 0, 0]",OR -> XNOR -> XOR -> XNOR,9.5,13.5,4,1
779,"OR(XNOR(XOR(NOT(A), C), D), E)","[0, 0, 1, 1, 0]",OR -> XNOR -> XOR -> NOT,8,11.5,4,0
780,"OR(XNOR(XOR(BUFFER(A), C), D), E)","[1, 0, 0, 1, 0]",OR -> XNOR -> XOR -> BUFFER,7.2,10.5,4,1
781,"OR(XNOR(NAND(AND(A, B), C), D), E)","[1, 0, 1, 1, 1]",OR -> XNOR -> NAND -> AND,8,12,4,1
782,"OR(XNOR(NAND(OR(A, B), C), D), E)","[0, 1, 1, 0, 0]",OR -> XNOR -> NAND -> OR,8,12,4,1
783,"OR(XNOR(NAND(XOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",OR -> XNOR -> NAND -> XOR,8.5,12.5,4,0
784,"OR(XNOR(NAND(NAND(A, B), C), D), E)","[0, 0, 0, 1, 0]",OR -> XNOR -> NAND -> NAND,7.5,11.5,4,1
785,"OR(XNOR(NAND(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",OR -> XNOR -> NAND -> NOR,7.5,11.5,4,1
786,"OR(XNOR(NAND(XNOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",OR -> XNOR -> NAND -> XNOR,8.5,12.5,4,1
787,"OR(XNOR(NAND(NOT(A), C), D), E)","[0, 0, 1, 1, 0]",OR -> XNOR -> NAND -> NOT,7,10.5,4,0
788,"OR(XNOR(NAND(BUFFER(A), C), D), E)","[1, 1, 1, 0, 1]",OR -> XNOR -> NAND -> BUFFER,6.2,9.5,4,1
789,"OR(XNOR(NOR(AND(A, B), C), D), E)","[1, 1, 0, 1, 0]",OR -> XNOR -> NOR -> AND,8,12,4,0
790,"OR(XNOR(NOR(OR(A, B), C), D), E)","[0, 0, 0, 1, 1]",OR -> XNOR -> NOR -> OR,8,12,4,1
791,"OR(XNOR(NOR(XOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",OR -> XNOR -> NOR -> XOR,8.5,12.5,4,1
792,"OR(XNOR(NOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> XNOR -> NOR -> NAND,7.5,11.5,4,1
793,"OR(XNOR(NOR(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",OR -> XNOR -> NOR -> NOR,7.5,11.5,4,1
794,"OR(XNOR(NOR(XNOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",OR -> XNOR -> NOR -> XNOR,8.5,12.5,4,1
795,"OR(XNOR(NOR(NOT(A), C), D), E)","[0, 0, 1, 1, 0]",OR -> XNOR -> NOR -> NOT,7,10.5,4,0
796,"OR(XNOR(NOR(BUFFER(A), C), D), E)","[0, 1, 0, 1, 0]",OR -> XNOR -> NOR -> BUFFER,6.2,9.5,4,1
797,"OR(XNOR(XNOR(AND(A, B), C), D), E)","[0, 1, 0, 1, 0]",OR -> XNOR -> XNOR -> AND,9,13,4,1
798,"OR(XNOR(XNOR(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",OR -> XNOR -> XNOR -> OR,9,13,4,1
799,"OR(XNOR(XNOR(XOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",OR -> XNOR -> XNOR -> XOR,9.5,13.5,4,0
800,"OR(XNOR(XNOR(NAND(A, B), C), D), E)","[0, 0, 1, 1, 0]",OR -> XNOR -> XNOR -> NAND,8.5,12.5,4,1
801,"OR(XNOR(XNOR(NOR(A, B), C), D), E)","[1, 0, 0, 0, 0]",OR -> XNOR -> XNOR -> NOR,8.5,12.5,4,0
802,"OR(XNOR(XNOR(XNOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",OR -> XNOR -> XNOR -> XNOR,9.5,13.5,4,1
803,"OR(XNOR(XNOR(NOT(A), C), D), E)","[1, 0, 1, 0, 0]",OR -> XNOR -> XNOR -> NOT,8,11.5,4,1
804,"OR(XNOR(XNOR(BUFFER(A), C), D), E)","[0, 0, 0, 0, 0]",OR -> XNOR -> XNOR -> BUFFER,7.2,10.5,4,0
805,"OR(XNOR(NOT(AND(A, B)), D), E)","[0, 0, 0, 1, 0]",OR -> XNOR -> NOT -> AND,7.5,11,4,1
806,"OR(XNOR(NOT(OR(A, B)), D), E)","[1, 1, 1, 1, 1]",OR -> XNOR -> NOT -> OR,7.5,11,4,1
807,"OR(XNOR(NOT(XOR(A, B)), D), E)","[1, 1, 1, 0, 1]",OR -> XNOR -> NOT -> XOR,8,11.5,4,1
808,"OR(XNOR(NOT(NAND(A, B)), D), E)","[1, 1, 0, 0, 0]",OR -> XNOR -> NOT -> NAND,7,10.5,4,0
809,"OR(XNOR(NOT(NOR(A, B)), D), E)","[1, 1, 0, 1, 1]",OR -> XNOR -> NOT -> NOR,7,10.5,4,1
810,"OR(XNOR(NOT(XNOR(A, B)), D), E)","[1, 1, 1, 0, 0]",OR -> XNOR -> NOT -> XNOR,8,11.5,4,1
811,"OR(XNOR(BUFFER(AND(A, B)), D), E)","[0, 1, 1, 0, 0]",OR -> XNOR -> BUFFER -> AND,6.7,10,4,1
812,"OR(XNOR(BUFFER(OR(A, B)), D), E)","[0, 1, 0, 0, 0]",OR -> XNOR -> BUFFER -> OR,6.7,10,4,0
813,"OR(XNOR(BUFFER(XOR(A, B)), D), E)","[1, 0, 0, 1, 0]",OR -> XNOR -> BUFFER -> XOR,7.2,10.5,4,1
814,"OR(XNOR(BUFFER(NAND(A, B)), D), E)","[1, 1, 0, 0, 0]",OR -> XNOR -> BUFFER -> NAND,6.2,9.5,4,1
815,"OR(XNOR(BUFFER(NOR(A, B)), D), E)","[1, 1, 1, 0, 0]",OR -> XNOR -> BUFFER -> NOR,6.2,9.5,4,1
816,"OR(XNOR(BUFFER(XNOR(A, B)), D), E)","[1, 1, 1, 1, 1]",OR -> XNOR -> BUFFER -> XNOR,7.2,10.5,4,1
817,"OR(NOT(AND(AND(A, B), C)), E)","[0, 1, 1, 1, 1]",OR -> NOT -> AND -> AND,7,10.5,4,1
818,"OR(NOT(AND(OR(A, B), C)), E)","[0, 1, 1, 0, 0]",OR -> NOT -> AND -> OR,7,10.5,4,0
819,"OR(NOT(AND(XOR(A, B), C)), E)","[1, 1, 1, 0, 0]",OR -> NOT -> AND -> XOR,7.5,11,4,1
820,"OR(NOT(AND(NAND(A, B), C)), E)","[1, 0, 1, 1, 0]",OR -> NOT -> AND -> NAND,6.5,10,4,0
821,"OR(NOT(AND(NOR(A, B), C)), E)","[0, 0, 1, 1, 1]",OR -> NOT -> AND -> NOR,6.5,10,4,1
822,"OR(NOT(AND(XNOR(A, B), C)), E)","[1, 1, 1, 1, 1]",OR -> NOT -> AND -> XNOR,7.5,11,4,1
823,"OR(NOT(AND(NOT(A), C)), E)","[0, 1, 1, 0, 0]",OR -> NOT -> AND -> NOT,6,9,4,0
824,"OR(NOT(AND(BUFFER(A), C)), E)","[0, 1, 1, 0, 0]",OR -> NOT -> AND -> BUFFER,5.2,8,4,1
825,"OR(NOT(OR(AND(A, B), C)), E)","[0, 0, 1, 0, 0]",OR -> NOT -> OR -> AND,7,10.5,4,0
826,"OR(NOT(OR(OR(A, B), C)), E)","[1, 1, 0, 1, 0]",OR -> NOT -> OR -> OR,7,10.5,4,0
827,"OR(NOT(OR(XOR(A, B), C)), E)","[1, 0, 0, 1, 1]",OR -> NOT -> OR -> XOR,7.5,11,4,1
828,"OR(NOT(OR(NAND(A, B), C)), E)","[0, 0, 1, 0, 1]",OR -> NOT -> OR -> NAND,6.5,10,4,1
829,"OR(NOT(OR(NOR(A, B), C)), E)","[1, 0, 0, 1, 0]",OR -> NOT -> OR -> NOR,6.5,10,4,1
830,"OR(NOT(OR(XNOR(A, B), C)), E)","[0, 1, 0, 1, 1]",OR -> NOT -> OR -> XNOR,7.5,11,4,1
831,"OR(NOT(OR(NOT(A), C)), E)","[0, 0, 0, 1, 1]",OR -> NOT -> OR -> NOT,6,9,4,1
832,"OR(NOT(OR(BUFFER(A), C)), E)","[0, 0, 1, 0, 1]",OR -> NOT -> OR -> BUFFER,5.2,8,4,1
833,"OR(NOT(XOR(AND(A, B), C)), E)","[0, 0, 0, 1, 1]",OR -> NOT -> XOR -> AND,7.5,11,4,1
834,"OR(NOT(XOR(OR(A, B), C)), E)","[1, 1, 0, 1, 1]",OR -> NOT -> XOR -> OR,7.5,11,4,1
835,"OR(NOT(XOR(XOR(A, B), C)), E)","[1, 1, 0, 1, 0]",OR -> NOT -> XOR -> XOR,8,11.5,4,1
836,"OR(NOT(XOR(NAND(A, B), C)), E)","[0, 1, 1, 0, 0]",OR -> NOT -> XOR -> NAND,7,10.5,4,1
837,"OR(NOT(XOR(NOR(A, B), C)), E)","[1, 1, 0, 0, 0]",OR -> NOT -> XOR -> NOR,7,10.5,4,1
838,"OR(NOT(XOR(XNOR(A, B), C)), E)","[1, 0, 1, 0, 1]",OR -> NOT -> XOR -> XNOR,8,11.5,4,1
839,"OR(NOT(XOR(NOT(A), C)), E)","[1, 0, 0, 1, 1]",OR -> NOT -> XOR -> NOT,6.5,9.5,4,1
840,"OR(NOT(XOR(BUFFER(A), C)), E)","[1, 0, 1, 1, 1]",OR -> NOT -> XOR -> BUFFER,5.7,8.5,4,1
841,"OR(NOT(NAND(AND(A, B), C)), E)","[1, 1, 0, 1, 0]",OR -> NOT -> NAND -> AND,6.5,10,4,0
842,"OR(NOT(NAND(OR(A, B), C)), E)","[0, 1, 0, 0, 0]",OR -> NOT -> NAND -> OR,6.5,10,4,0
843,"OR(NOT(NAND(XOR(A, B), C)), E)","[0, 0, 0, 1, 0]",OR -> NOT -> NAND -> XOR,7,10.5,4,0
844,"OR(NOT(NAND(NAND(A, B), C)), E)","[1, 1, 1, 0, 0]",OR -> NOT -> NAND -> NAND,6,9.5,4,0
845,"OR(NOT(NAND(NOR(A, B), C)), E)","[1, 1, 0, 1, 1]",OR -> NOT -> NAND -> NOR,6,9.5,4,1
846,"OR(NOT(NAND(XNOR(A, B), C)), E)","[1, 0, 1, 1, 1]",OR -> NOT -> NAND -> XNOR,7,10.5,4,1
847,"OR(NOT(NAND(NOT(A), C)), E)","[0, 1, 1, 0, 1]",OR -> NOT -> NAND -> NOT,5.5,8.5,4,1
848,"OR(NOT(NAND(BUFFER(A), C)), E)","[0, 0, 1, 1, 0]",OR -> NOT -> NAND -> BUFFER,4.7,7.5,4,0
849,"OR(NOT(NOR(AND(A, B), C)), E)","[1, 1, 0, 1, 0]",OR -> NOT -> NOR -> AND,6.5,10,4,1
850,"OR(NOT(NOR(OR(A, B), C)), E)","[1, 1, 0, 1, 0]",OR -> NOT -> NOR -> OR,6.5,10,4,1
851,"OR(NOT(NOR(XOR(A, B), C)), E)","[1, 0, 0, 1, 1]",OR -> NOT -> NOR -> XOR,7,10.5,4,1
852,"OR(NOT(NOR(NAND(A, B), C)), E)","[0, 1, 0, 1, 0]",OR -> NOT -> NOR -> NAND,6,9.5,4,1
853,"OR(NOT(NOR(NOR(A, B), C)), E)","[0, 1, 1, 0, 1]",OR -> NOT -> NOR -> NOR,6,9.5,4,1
854,"OR(NOT(NOR(XNOR(A, B), C)), E)","[1, 0, 1, 0, 1]",OR -> NOT -> NOR -> XNOR,7,10.5,4,1
855,"OR(NOT(NOR(NOT(A), C)), E)","[0, 0, 0, 1, 0]",OR -> NOT -> NOR -> NOT,5.5,8.5,4,1
856,"OR(NOT(NOR(BUFFER(A), C)), E)","[1, 1, 1, 1, 1]",OR -> NOT -> NOR -> BUFFER,4.7,7.5,4,1
857,"OR(NOT(XNOR(AND(A, B), C)), E)","[1, 0, 1, 0, 1]",OR -> NOT -> XNOR -> AND,7.5,11,4,1
858,"OR(NOT(XNOR(OR(A, B), C)), E)","[0, 1, 1, 0, 0]",OR -> NOT -> XNOR -> OR,7.5,11,4,0
859,"OR(NOT(XNOR(XOR(A, B), C)), E)","[0, 0, 1, 1, 1]",OR -> NOT -> XNOR -> XOR,8,11.5,4,1
860,"OR(NOT(XNOR(NAND(A, B), C)), E)","[0, 1, 1, 1, 1]",OR -> NOT -> XNOR -> NAND,7,10.5,4,1
861,"OR(NOT(XNOR(NOR(A, B), C)), E)","[1, 1, 1, 1, 0]",OR -> NOT -> XNOR -> NOR,7,10.5,4,1
862,"OR(NOT(XNOR(XNOR(A, B), C)), E)","[0, 0, 1, 1, 0]",OR -> NOT -> XNOR -> XNOR,8,11.5,4,0
863,"OR(NOT(XNOR(NOT(A), C)), E)","[1, 1, 0, 0, 1]",OR -> NOT -> XNOR -> NOT,6.5,9.5,4,1
864,"OR(NOT(XNOR(BUFFER(A), C)), E)","[1, 1, 0, 1, 0]",OR -> NOT -> XNOR -> BUFFER,5.7,8.5,4,1
865,"OR(BUFFER(AND(AND(A, B), C)), E)","[0, 0, 1, 1, 1]",OR -> BUFFER -> AND -> AND,6.2,9.5,4,1
866,"OR(BUFFER(AND(OR(A, B), C)), E)","[0, 1, 0, 0, 0]",OR -> BUFFER -> AND -> OR,6.2,9.5,4,0
867,"OR(BUFFER(AND(XOR(A, B), C)), E)","[1, 0, 1, 0, 1]",OR -> BUFFER -> AND -> XOR,6.7,10,4,1
868,"OR(BUFFER(AND(NAND(A, B), C)), E)","[0, 0, 1, 0, 0]",OR -> BUFFER -> AND -> NAND,5.7,9,4,1
869,"OR(BUFFER(AND(NOR(A, B), C)), E)","[0, 0, 0, 0, 1]",OR -> BUFFER -> AND -> NOR,5.7,9,4,1
870,"OR(BUFFER(AND(XNOR(A, B), C)), E)","[1, 1, 0, 0, 1]",OR -> BUFFER -> AND -> XNOR,6.7,10,4,1
871,"OR(BUFFER(AND(NOT(A), C)), E)","[0, 1, 0, 0, 0]",OR -> BUFFER -> AND -> NOT,5.2,8,4,0
872,"OR(BUFFER(AND(BUFFER(A), C)), E)","[0, 0, 0, 0, 1]",OR -> BUFFER -> AND -> BUFFER,4.4,7,4,1
873,"OR(BUFFER(OR(AND(A, B), C)), E)","[1, 1, 0, 1, 1]",OR -> BUFFER -> OR -> AND,6.2,9.5,4,1
874,"OR(BUFFER(OR(OR(A, B), C)), E)","[0, 1, 0, 0, 1]",OR -> BUFFER -> OR -> OR,6.2,9.5,4,1
875,"OR(BUFFER(OR(XOR(A, B), C)), E)","[0, 0, 1, 0, 1]",OR -> BUFFER -> OR -> XOR,6.7,10,4,1
876,"OR(BUFFER(OR(NAND(A, B), C)), E)","[1, 1, 1, 0, 1]",OR -> BUFFER -> OR -> NAND,5.7,9,4,1
877,"OR(BUFFER(OR(NOR(A, B), C)), E)","[0, 1, 0, 1, 0]",OR -> BUFFER -> OR -> NOR,5.7,9,4,0
878,"OR(BUFFER(OR(XNOR(A, B), C)), E)","[0, 1, 1, 1, 0]",OR -> BUFFER -> OR -> XNOR,6.7,10,4,1
879,"OR(BUFFER(OR(NOT(A), C)), E)","[0, 1, 0, 0, 1]",OR -> BUFFER -> OR -> NOT,5.2,8,4,1
880,"OR(BUFFER(OR(BUFFER(A), C)), E)","[0, 1, 1, 1, 0]",OR -> BUFFER -> OR -> BUFFER,4.4,7,4,1
881,"OR(BUFFER(XOR(AND(A, B), C)), E)","[1, 1, 0, 1, 1]",OR -> BUFFER -> XOR -> AND,6.7,10,4,1
882,"OR(BUFFER(XOR(OR(A, B), C)), E)","[0, 0, 0, 1, 1]",OR -> BUFFER -> XOR -> OR,6.7,10,4,1
883,"OR(BUFFER(XOR(XOR(A, B), C)), E)","[0, 1, 1, 0, 1]",OR -> BUFFER -> XOR -> XOR,7.2,10.5,4,1
884,"OR(BUFFER(XOR(NAND(A, B), C)), E)","[1, 1, 0, 0, 0]",OR -> BUFFER -> XOR -> NAND,6.2,9.5,4,0
885,"OR(BUFFER(XOR(NOR(A, B), C)), E)","[1, 1, 1, 0, 1]",OR -> BUFFER -> XOR -> NOR,6.2,9.5,4,1
886,"OR(BUFFER(XOR(XNOR(A, B), C)), E)","[0, 1, 1, 1, 0]",OR -> BUFFER -> XOR -> XNOR,7.2,10.5,4,1
887,"OR(BUFFER(XOR(NOT(A), C)), E)","[0, 0, 1, 1, 1]",OR -> BUFFER -> XOR -> NOT,5.7,8.5,4,1
888,"OR(BUFFER(XOR(BUFFER(A), C)), E)","[0, 1, 1, 1, 0]",OR -> BUFFER -> XOR -> BUFFER,4.9,7.5,4,1
889,"OR(BUFFER(NAND(AND(A, B), C)), E)","[0, 1, 1, 1, 1]",OR -> BUFFER -> NAND -> AND,5.7,9,4,1
890,"OR(BUFFER(NAND(OR(A, B), C)), E)","[1, 1, 1, 1, 0]",OR -> BUFFER -> NAND -> OR,5.7,9,4,0
891,"OR(BUFFER(NAND(XOR(A, B), C)), E)","[0, 0, 0, 0, 0]",OR -> BUFFER -> NAND -> XOR,6.2,9.5,4,1
892,"OR(BUFFER(NAND(NAND(A, B), C)), E)","[1, 0, 1, 1, 1]",OR -> BUFFER -> NAND -> NAND,5.2,8.5,4,1
893,"OR(BUFFER(NAND(NOR(A, B), C)), E)","[1, 0, 1, 1, 0]",OR -> BUFFER -> NAND -> NOR,5.2,8.5,4,1
894,"OR(BUFFER(NAND(XNOR(A, B), C)), E)","[1, 1, 0, 0, 0]",OR -> BUFFER -> NAND -> XNOR,6.2,9.5,4,1
895,"OR(BUFFER(NAND(NOT(A), C)), E)","[1, 1, 0, 1, 1]",OR -> BUFFER -> NAND -> NOT,4.7,7.5,4,1
896,"OR(BUFFER(NAND(BUFFER(A), C)), E)","[1, 0, 1, 0, 1]",OR -> BUFFER -> NAND -> BUFFER,3.9,6.5,4,1
897,"OR(BUFFER(NOR(AND(A, B), C)), E)","[1, 1, 1, 1, 0]",OR -> BUFFER -> NOR -> AND,5.7,9,4,0
898,"OR(BUFFER(NOR(OR(A, B), C)), E)","[0, 0, 0, 0, 1]",OR -> BUFFER -> NOR -> OR,5.7,9,4,1
899,"OR(BUFFER(NOR(XOR(A, B), C)), E)","[0, 0, 1, 0, 0]",OR -> BUFFER -> NOR -> XOR,6.2,9.5,4,0
900,"OR(BUFFER(NOR(NAND(A, B), C)), E)","[1, 0, 0, 1, 0]",OR -> BUFFER -> NOR -> NAND,5.2,8.5,4,0
901,"OR(BUFFER(NOR(NOR(A, B), C)), E)","[1, 0, 0, 1, 0]",OR -> BUFFER -> NOR -> NOR,5.2,8.5,4,1
902,"OR(BUFFER(NOR(XNOR(A, B), C)), E)","[0, 0, 1, 1, 1]",OR -> BUFFER -> NOR -> XNOR,6.2,9.5,4,1
903,"OR(BUFFER(NOR(NOT(A), C)), E)","[1, 0, 1, 1, 1]",OR -> BUFFER -> NOR -> NOT,4.7,7.5,4,1
