ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
233,"BUFFER(NOR(AND(A, B), C))","[0, 1, 0, 1]",BUFFER -> NOR -> AND,3.7,6,3,0
234,"BUFFER(NOR(OR(A, B), C))","[0, 1, 0, 0]",BUFFER -> NOR -> OR,3.7,6,3,0
235,"BUFFER(NOR(NOT(A), C))","[0, 1, 0, 0]",BUFFER -> NOR -> NOT,2.7,4.5,3,0
236,"BUFFER(NOR(BUFFER(A), C))","[1, 0, 0, 1]",BUFFER -> NOR -> BUFFER,1.9,3.5,3,0
237,"BUFFER(NOR(NAND(A, B), C))","[1, 1, 1, 0]",BUFFER -> NOR -> NAND,3.2,5.5,3,0
238,"BUFFER(NOR(NOR(A, B), C))","[0, 1, 1, 0]",BUFFER -> NOR -> NOR,3.2,5.5,3,0
239,"BUFFER(NOR(XOR(A, B), C))","[0, 0, 0, 1]",BUFFER -> NOR -> XOR,4.2,6.5,3,0
240,"BUFFER(NOR(XNOR(A, B), C))","[1, 0, 0, 1]",BUFFER -> NOR -> XNOR,4.2,6.5,3,0
241,"BUFFER(XOR(AND(A, B), C))","[0, 0, 1, 1]",BUFFER -> XOR -> AND,4.7,7,3,0
242,"BUFFER(XOR(OR(A, B), C))","[1, 1, 0, 1]",BUFFER -> XOR -> OR,4.7,7,3,0
243,"BUFFER(XOR(NOT(A), C))","[0, 0, 0, 0]",BUFFER -> XOR -> NOT,3.7,5.5,3,1
244,"BUFFER(XOR(BUFFER(A), C))","[1, 1, 0, 0]",BUFFER -> XOR -> BUFFER,2.9,4.5,3,0
245,"BUFFER(XOR(NAND(A, B), C))","[0, 0, 0, 0]",BUFFER -> XOR -> NAND,4.2,6.5,3,1
246,"BUFFER(XOR(NOR(A, B), C))","[1, 1, 0, 1]",BUFFER -> XOR -> NOR,4.2,6.5,3,1
247,"BUFFER(XOR(XOR(A, B), C))","[1, 0, 1, 1]",BUFFER -> XOR -> XOR,5.2,7.5,3,0
248,"BUFFER(XOR(XNOR(A, B), C))","[1, 1, 1, 1]",BUFFER -> XOR -> XNOR,5.2,7.5,3,0
249,"BUFFER(XNOR(AND(A, B), C))","[0, 0, 1, 0]",BUFFER -> XNOR -> AND,4.7,7,3,1
250,"BUFFER(XNOR(OR(A, B), C))","[0, 0, 1, 1]",BUFFER -> XNOR -> OR,4.7,7,3,0
251,"BUFFER(XNOR(NOT(A), C))","[0, 0, 1, 0]",BUFFER -> XNOR -> NOT,3.7,5.5,3,0
252,"BUFFER(XNOR(BUFFER(A), C))","[0, 1, 0, 1]",BUFFER -> XNOR -> BUFFER,2.9,4.5,3,0
253,"BUFFER(XNOR(NAND(A, B), C))","[1, 0, 0, 1]",BUFFER -> XNOR -> NAND,4.2,6.5,3,1
254,"BUFFER(XNOR(NOR(A, B), C))","[1, 0, 0, 1]",BUFFER -> XNOR -> NOR,4.2,6.5,3,1
255,"BUFFER(XNOR(XOR(A, B), C))","[1, 1, 0, 1]",BUFFER -> XNOR -> XOR,5.2,7.5,3,0
256,"BUFFER(XNOR(XNOR(A, B), C))","[1, 1, 1, 1]",BUFFER -> XNOR -> XNOR,5.2,7.5,3,1
257,"NAND(AND(AND(A, B), C), D)","[1, 1, 1, 0]",NAND -> AND -> AND,5.5,8.5,3,1
258,"NAND(AND(OR(A, B), C), D)","[0, 1, 0, 1]",NAND -> AND -> OR,5.5,8.5,3,1
259,"NAND(AND(NOT(A), C), D)","[1, 1, 0, 1]",NAND -> AND -> NOT,4.5,7,3,1
260,"NAND(AND(BUFFER(A), C), D)","[0, 1, 1, 0]",NAND -> AND -> BUFFER,3.7,6,3,1
261,"NAND(AND(NAND(A, B), C), D)","[0, 0, 0, 1]",NAND -> AND -> NAND,5,8,3,1
262,"NAND(AND(NOR(A, B), C), D)","[1, 0, 1, 0]",NAND -> AND -> NOR,5,8,3,1
263,"NAND(AND(XOR(A, B), C), D)","[0, 0, 1, 0]",NAND -> AND -> XOR,6,9,3,1
264,"NAND(AND(XNOR(A, B), C), D)","[0, 0, 0, 0]",NAND -> AND -> XNOR,6,9,3,1
265,"NAND(OR(AND(A, B), C), D)","[1, 1, 0, 1]",NAND -> OR -> AND,5.5,8.5,3,1
266,"NAND(OR(OR(A, B), C), D)","[0, 1, 0, 1]",NAND -> OR -> OR,5.5,8.5,3,1
267,"NAND(OR(NOT(A), C), D)","[0, 0, 1, 0]",NAND -> OR -> NOT,4.5,7,3,0
268,"NAND(OR(BUFFER(A), C), D)","[1, 0, 1, 0]",NAND -> OR -> BUFFER,3.7,6,3,0
269,"NAND(OR(NAND(A, B), C), D)","[0, 0, 1, 0]",NAND -> OR -> NAND,5,8,3,0
270,"NAND(OR(NOR(A, B), C), D)","[1, 0, 0, 1]",NAND -> OR -> NOR,5,8,3,1
271,"NAND(OR(XOR(A, B), C), D)","[1, 1, 1, 1]",NAND -> OR -> XOR,6,9,3,0
272,"NAND(OR(XNOR(A, B), C), D)","[0, 1, 1, 1]",NAND -> OR -> XNOR,6,9,3,0
273,"NAND(NOT(AND(A, B)), D)","[0, 0, 0, 1]",NAND -> NOT -> AND,4.5,7,3,1
274,"NAND(NOT(OR(A, B)), D)","[0, 1, 1, 1]",NAND -> NOT -> OR,4.5,7,3,1
275,"NAND(NOT(NOT(A)), D)","[0, 1, 1, 0]",NAND -> NOT -> NOT,3.5,5.5,3,1
276,"NAND(NOT(BUFFER(A)), D)","[1, 0, 1, 1]",NAND -> NOT -> BUFFER,2.7,4.5,3,0
277,"NAND(NOT(NAND(A, B)), D)","[0, 0, 0, 0]",NAND -> NOT -> NAND,4,6.5,3,1
278,"NAND(NOT(NOR(A, B)), D)","[0, 0, 1, 1]",NAND -> NOT -> NOR,4,6.5,3,0
279,"NAND(NOT(XOR(A, B)), D)","[1, 1, 1, 1]",NAND -> NOT -> XOR,5,7.5,3,1
280,"NAND(NOT(XNOR(A, B)), D)","[1, 1, 0, 0]",NAND -> NOT -> XNOR,5,7.5,3,1
281,"NAND(BUFFER(AND(A, B)), D)","[0, 0, 0, 0]",NAND -> BUFFER -> AND,3.7,6,3,1
282,"NAND(BUFFER(OR(A, B)), D)","[1, 1, 1, 0]",NAND -> BUFFER -> OR,3.7,6,3,0
283,"NAND(BUFFER(NOT(A)), D)","[0, 1, 0, 1]",NAND -> BUFFER -> NOT,2.7,4.5,3,1
284,"NAND(BUFFER(BUFFER(A)), D)","[0, 1, 1, 1]",NAND -> BUFFER -> BUFFER,1.9,3.5,3,0
285,"NAND(BUFFER(NAND(A, B)), D)","[1, 0, 1, 0]",NAND -> BUFFER -> NAND,3.2,5.5,3,1
286,"NAND(BUFFER(NOR(A, B)), D)","[0, 0, 1, 0]",NAND -> BUFFER -> NOR,3.2,5.5,3,1
287,"NAND(BUFFER(XOR(A, B)), D)","[0, 1, 1, 0]",NAND -> BUFFER -> XOR,4.2,6.5,3,0
288,"NAND(BUFFER(XNOR(A, B)), D)","[1, 1, 0, 0]",NAND -> BUFFER -> XNOR,4.2,6.5,3,1
289,"NAND(NAND(AND(A, B), C), D)","[1, 1, 1, 1]",NAND -> NAND -> AND,5,8,3,1
290,"NAND(NAND(OR(A, B), C), D)","[0, 1, 0, 1]",NAND -> NAND -> OR,5,8,3,1
291,"NAND(NAND(NOT(A), C), D)","[0, 1, 0, 0]",NAND -> NAND -> NOT,4,6.5,3,1
292,"NAND(NAND(BUFFER(A), C), D)","[0, 0, 1, 1]",NAND -> NAND -> BUFFER,3.2,5.5,3,0
293,"NAND(NAND(NAND(A, B), C), D)","[0, 0, 0, 0]",NAND -> NAND -> NAND,4.5,7.5,3,1
294,"NAND(NAND(NOR(A, B), C), D)","[0, 0, 0, 1]",NAND -> NAND -> NOR,4.5,7.5,3,1
295,"NAND(NAND(XOR(A, B), C), D)","[1, 0, 0, 1]",NAND -> NAND -> XOR,5.5,8.5,3,1
296,"NAND(NAND(XNOR(A, B), C), D)","[1, 1, 0, 0]",NAND -> NAND -> XNOR,5.5,8.5,3,1
297,"NAND(NOR(AND(A, B), C), D)","[0, 1, 1, 1]",NAND -> NOR -> AND,5,8,3,1
298,"NAND(NOR(OR(A, B), C), D)","[1, 0, 0, 1]",NAND -> NOR -> OR,5,8,3,1
299,"NAND(NOR(NOT(A), C), D)","[1, 1, 0, 0]",NAND -> NOR -> NOT,4,6.5,3,1
300,"NAND(NOR(BUFFER(A), C), D)","[0, 1, 1, 1]",NAND -> NOR -> BUFFER,3.2,5.5,3,1
301,"NAND(NOR(NAND(A, B), C), D)","[0, 0, 0, 0]",NAND -> NOR -> NAND,4.5,7.5,3,1
302,"NAND(NOR(NOR(A, B), C), D)","[0, 1, 0, 0]",NAND -> NOR -> NOR,4.5,7.5,3,1
303,"NAND(NOR(XOR(A, B), C), D)","[0, 0, 1, 1]",NAND -> NOR -> XOR,5.5,8.5,3,1
304,"NAND(NOR(XNOR(A, B), C), D)","[1, 0, 1, 1]",NAND -> NOR -> XNOR,5.5,8.5,3,1
305,"NAND(XOR(AND(A, B), C), D)","[1, 1, 0, 0]",NAND -> XOR -> AND,6,9,3,1
306,"NAND(XOR(OR(A, B), C), D)","[0, 0, 1, 0]",NAND -> XOR -> OR,6,9,3,1
307,"NAND(XOR(NOT(A), C), D)","[0, 0, 1, 1]",NAND -> XOR -> NOT,5,7.5,3,0
308,"NAND(XOR(BUFFER(A), C), D)","[1, 0, 0, 0]",NAND -> XOR -> BUFFER,4.2,6.5,3,1
309,"NAND(XOR(NAND(A, B), C), D)","[1, 1, 1, 0]",NAND -> XOR -> NAND,5.5,8.5,3,1
310,"NAND(XOR(NOR(A, B), C), D)","[0, 0, 0, 0]",NAND -> XOR -> NOR,5.5,8.5,3,1
311,"NAND(XOR(XOR(A, B), C), D)","[1, 1, 1, 1]",NAND -> XOR -> XOR,6.5,9.5,3,0
312,"NAND(XOR(XNOR(A, B), C), D)","[1, 1, 0, 1]",NAND -> XOR -> XNOR,6.5,9.5,3,1
313,"NAND(XNOR(AND(A, B), C), D)","[0, 0, 1, 0]",NAND -> XNOR -> AND,6,9,3,0
314,"NAND(XNOR(OR(A, B), C), D)","[0, 0, 1, 1]",NAND -> XNOR -> OR,6,9,3,1
315,"NAND(XNOR(NOT(A), C), D)","[1, 1, 0, 1]",NAND -> XNOR -> NOT,5,7.5,3,1
316,"NAND(XNOR(BUFFER(A), C), D)","[0, 1, 1, 1]",NAND -> XNOR -> BUFFER,4.2,6.5,3,1
317,"NAND(XNOR(NAND(A, B), C), D)","[1, 1, 1, 1]",NAND -> XNOR -> NAND,5.5,8.5,3,1
318,"NAND(XNOR(NOR(A, B), C), D)","[1, 0, 0, 0]",NAND -> XNOR -> NOR,5.5,8.5,3,1
319,"NAND(XNOR(XOR(A, B), C), D)","[0, 1, 0, 1]",NAND -> XNOR -> XOR,6.5,9.5,3,1
320,"NAND(XNOR(XNOR(A, B), C), D)","[1, 1, 0, 0]",NAND -> XNOR -> XNOR,6.5,9.5,3,1
321,"NOR(AND(AND(A, B), C), D)","[1, 1, 1, 1]",NOR -> AND -> AND,5.5,8.5,3,0
322,"NOR(AND(OR(A, B), C), D)","[0, 0, 0, 0]",NOR -> AND -> OR,5.5,8.5,3,1
323,"NOR(AND(NOT(A), C), D)","[0, 0, 0, 1]",NOR -> AND -> NOT,4.5,7,3,1
324,"NOR(AND(BUFFER(A), C), D)","[1, 0, 0, 1]",NOR -> AND -> BUFFER,3.7,6,3,1
325,"NOR(AND(NAND(A, B), C), D)","[0, 0, 1, 1]",NOR -> AND -> NAND,5,8,3,0
326,"NOR(AND(NOR(A, B), C), D)","[1, 1, 1, 0]",NOR -> AND -> NOR,5,8,3,0
327,"NOR(AND(XOR(A, B), C), D)","[0, 1, 0, 0]",NOR -> AND -> XOR,6,9,3,1
328,"NOR(AND(XNOR(A, B), C), D)","[1, 1, 1, 0]",NOR -> AND -> XNOR,6,9,3,0
329,"NOR(OR(AND(A, B), C), D)","[0, 1, 1, 1]",NOR -> OR -> AND,5.5,8.5,3,0
330,"NOR(OR(OR(A, B), C), D)","[0, 0, 1, 0]",NOR -> OR -> OR,5.5,8.5,3,0
331,"NOR(OR(NOT(A), C), D)","[0, 1, 1, 1]",NOR -> OR -> NOT,4.5,7,3,0
332,"NOR(OR(BUFFER(A), C), D)","[1, 0, 0, 0]",NOR -> OR -> BUFFER,3.7,6,3,0
333,"NOR(OR(NAND(A, B), C), D)","[1, 0, 0, 1]",NOR -> OR -> NAND,5,8,3,1
334,"NOR(OR(NOR(A, B), C), D)","[1, 1, 1, 0]",NOR -> OR -> NOR,5,8,3,0
335,"NOR(OR(XOR(A, B), C), D)","[1, 1, 1, 0]",NOR -> OR -> XOR,6,9,3,0
336,"NOR(OR(XNOR(A, B), C), D)","[0, 1, 0, 0]",NOR -> OR -> XNOR,6,9,3,0
337,"NOR(NOT(AND(A, B)), D)","[1, 0, 0, 0]",NOR -> NOT -> AND,4.5,7,3,0
338,"NOR(NOT(OR(A, B)), D)","[1, 1, 1, 1]",NOR -> NOT -> OR,4.5,7,3,0
339,"NOR(NOT(NOT(A)), D)","[0, 0, 1, 0]",NOR -> NOT -> NOT,3.5,5.5,3,0
340,"NOR(NOT(BUFFER(A)), D)","[1, 1, 0, 1]",NOR -> NOT -> BUFFER,2.7,4.5,3,1
341,"NOR(NOT(NAND(A, B)), D)","[1, 1, 0, 0]",NOR -> NOT -> NAND,4,6.5,3,1
342,"NOR(NOT(NOR(A, B)), D)","[0, 1, 1, 1]",NOR -> NOT -> NOR,4,6.5,3,0
343,"NOR(NOT(XOR(A, B)), D)","[0, 0, 0, 1]",NOR -> NOT -> XOR,5,7.5,3,0
344,"NOR(NOT(XNOR(A, B)), D)","[0, 0, 1, 0]",NOR -> NOT -> XNOR,5,7.5,3,0
345,"NOR(BUFFER(AND(A, B)), D)","[1, 1, 0, 1]",NOR -> BUFFER -> AND,3.7,6,3,0
346,"NOR(BUFFER(OR(A, B)), D)","[1, 0, 1, 0]",NOR -> BUFFER -> OR,3.7,6,3,0
347,"NOR(BUFFER(NOT(A)), D)","[0, 1, 0, 1]",NOR -> BUFFER -> NOT,2.7,4.5,3,0
348,"NOR(BUFFER(BUFFER(A)), D)","[0, 0, 0, 1]",NOR -> BUFFER -> BUFFER,1.9,3.5,3,1
349,"NOR(BUFFER(NAND(A, B)), D)","[0, 1, 1, 1]",NOR -> BUFFER -> NAND,3.2,5.5,3,0
350,"NOR(BUFFER(NOR(A, B)), D)","[0, 0, 0, 0]",NOR -> BUFFER -> NOR,3.2,5.5,3,1
351,"NOR(BUFFER(XOR(A, B)), D)","[0, 1, 1, 1]",NOR -> BUFFER -> XOR,4.2,6.5,3,0
352,"NOR(BUFFER(XNOR(A, B)), D)","[0, 0, 0, 1]",NOR -> BUFFER -> XNOR,4.2,6.5,3,1
353,"NOR(NAND(AND(A, B), C), D)","[0, 1, 1, 1]",NOR -> NAND -> AND,5,8,3,0
354,"NOR(NAND(OR(A, B), C), D)","[1, 1, 0, 0]",NOR -> NAND -> OR,5,8,3,1
355,"NOR(NAND(NOT(A), C), D)","[1, 1, 0, 0]",NOR -> NAND -> NOT,4,6.5,3,0
356,"NOR(NAND(BUFFER(A), C), D)","[0, 1, 0, 0]",NOR -> NAND -> BUFFER,3.2,5.5,3,0
357,"NOR(NAND(NAND(A, B), C), D)","[1, 0, 1, 0]",NOR -> NAND -> NAND,4.5,7.5,3,0
358,"NOR(NAND(NOR(A, B), C), D)","[1, 1, 1, 0]",NOR -> NAND -> NOR,4.5,7.5,3,0
359,"NOR(NAND(XOR(A, B), C), D)","[0, 0, 1, 1]",NOR -> NAND -> XOR,5.5,8.5,3,0
360,"NOR(NAND(XNOR(A, B), C), D)","[1, 0, 1, 0]",NOR -> NAND -> XNOR,5.5,8.5,3,0
361,"NOR(NOR(AND(A, B), C), D)","[0, 1, 0, 1]",NOR -> NOR -> AND,5,8,3,1
362,"NOR(NOR(OR(A, B), C), D)","[0, 0, 0, 0]",NOR -> NOR -> OR,5,8,3,0
363,"NOR(NOR(NOT(A), C), D)","[0, 0, 1, 0]",NOR -> NOR -> NOT,4,6.5,3,0
364,"NOR(NOR(BUFFER(A), C), D)","[1, 1, 0, 0]",NOR -> NOR -> BUFFER,3.2,5.5,3,1
365,"NOR(NOR(NAND(A, B), C), D)","[0, 1, 1, 0]",NOR -> NOR -> NAND,4.5,7.5,3,0
366,"NOR(NOR(NOR(A, B), C), D)","[0, 0, 1, 1]",NOR -> NOR -> NOR,4.5,7.5,3,0
367,"NOR(NOR(XOR(A, B), C), D)","[0, 0, 1, 0]",NOR -> NOR -> XOR,5.5,8.5,3,0
368,"NOR(NOR(XNOR(A, B), C), D)","[1, 1, 1, 0]",NOR -> NOR -> XNOR,5.5,8.5,3,0
369,"NOR(XOR(AND(A, B), C), D)","[0, 1, 0, 1]",NOR -> XOR -> AND,6,9,3,0
370,"NOR(XOR(OR(A, B), C), D)","[1, 0, 0, 0]",NOR -> XOR -> OR,6,9,3,0
371,"NOR(XOR(NOT(A), C), D)","[0, 1, 1, 0]",NOR -> XOR -> NOT,5,7.5,3,0
372,"NOR(XOR(BUFFER(A), C), D)","[0, 0, 1, 0]",NOR -> XOR -> BUFFER,4.2,6.5,3,0
373,"NOR(XOR(NAND(A, B), C), D)","[1, 1, 1, 0]",NOR -> XOR -> NAND,5.5,8.5,3,0
374,"NOR(XOR(NOR(A, B), C), D)","[1, 0, 1, 1]",NOR -> XOR -> NOR,5.5,8.5,3,0
375,"NOR(XOR(XOR(A, B), C), D)","[1, 0, 1, 0]",NOR -> XOR -> XOR,6.5,9.5,3,0
376,"NOR(XOR(XNOR(A, B), C), D)","[0, 1, 0, 1]",NOR -> XOR -> XNOR,6.5,9.5,3,0
377,"NOR(XNOR(AND(A, B), C), D)","[1, 1, 1, 1]",NOR -> XNOR -> AND,6,9,3,0
378,"NOR(XNOR(OR(A, B), C), D)","[1, 1, 1, 1]",NOR -> XNOR -> OR,6,9,3,0
379,"NOR(XNOR(NOT(A), C), D)","[0, 1, 0, 1]",NOR -> XNOR -> NOT,5,7.5,3,0
380,"NOR(XNOR(BUFFER(A), C), D)","[0, 1, 1, 1]",NOR -> XNOR -> BUFFER,4.2,6.5,3,0
381,"NOR(XNOR(NAND(A, B), C), D)","[1, 1, 1, 0]",NOR -> XNOR -> NAND,5.5,8.5,3,0
382,"NOR(XNOR(NOR(A, B), C), D)","[1, 0, 0, 1]",NOR -> XNOR -> NOR,5.5,8.5,3,0
383,"NOR(XNOR(XOR(A, B), C), D)","[1, 1, 0, 0]",NOR -> XNOR -> XOR,6.5,9.5,3,0
384,"NOR(XNOR(XNOR(A, B), C), D)","[1, 0, 0, 1]",NOR -> XNOR -> XNOR,6.5,9.5,3,1
385,"XOR(AND(AND(A, B), C), D)","[1, 1, 0, 0]",XOR -> AND -> AND,6.5,9.5,3,0
386,"XOR(AND(OR(A, B), C), D)","[1, 1, 1, 1]",XOR -> AND -> OR,6.5,9.5,3,0
387,"XOR(AND(NOT(A), C), D)","[0, 1, 1, 1]",XOR -> AND -> NOT,5.5,8,3,0
388,"XOR(AND(BUFFER(A), C), D)","[0, 1, 1, 0]",XOR -> AND -> BUFFER,4.7,7,3,1
389,"XOR(AND(NAND(A, B), C), D)","[0, 1, 1, 0]",XOR -> AND -> NAND,6,9,3,0
390,"XOR(AND(NOR(A, B), C), D)","[1, 1, 1, 1]",XOR -> AND -> NOR,6,9,3,1
391,"XOR(AND(XOR(A, B), C), D)","[0, 1, 0, 0]",XOR -> AND -> XOR,7,10,3,0
392,"XOR(AND(XNOR(A, B), C), D)","[1, 0, 1, 0]",XOR -> AND -> XNOR,7,10,3,1
393,"XOR(OR(AND(A, B), C), D)","[1, 1, 0, 0]",XOR -> OR -> AND,6.5,9.5,3,1
394,"XOR(OR(OR(A, B), C), D)","[1, 0, 1, 0]",XOR -> OR -> OR,6.5,9.5,3,0
395,"XOR(OR(NOT(A), C), D)","[1, 1, 0, 1]",XOR -> OR -> NOT,5.5,8,3,1
396,"XOR(OR(BUFFER(A), C), D)","[0, 1, 1, 1]",XOR -> OR -> BUFFER,4.7,7,3,0
397,"XOR(OR(NAND(A, B), C), D)","[1, 1, 0, 1]",XOR -> OR -> NAND,6,9,3,1
398,"XOR(OR(NOR(A, B), C), D)","[1, 1, 0, 1]",XOR -> OR -> NOR,6,9,3,1
399,"XOR(OR(XOR(A, B), C), D)","[1, 0, 0, 1]",XOR -> OR -> XOR,7,10,3,0
400,"XOR(OR(XNOR(A, B), C), D)","[1, 1, 0, 0]",XOR -> OR -> XNOR,7,10,3,1
401,"XOR(NOT(AND(A, B)), D)","[1, 1, 1, 0]",XOR -> NOT -> AND,5.5,8,3,1
402,"XOR(NOT(OR(A, B)), D)","[0, 1, 1, 1]",XOR -> NOT -> OR,5.5,8,3,1
403,"XOR(NOT(NOT(A)), D)","[1, 0, 1, 0]",XOR -> NOT -> NOT,4.5,6.5,3,0
404,"XOR(NOT(BUFFER(A)), D)","[1, 0, 1, 0]",XOR -> NOT -> BUFFER,3.7,5.5,3,0
405,"XOR(NOT(NAND(A, B)), D)","[1, 1, 1, 0]",XOR -> NOT -> NAND,5,7.5,3,1
406,"XOR(NOT(NOR(A, B)), D)","[1, 0, 1, 0]",XOR -> NOT -> NOR,5,7.5,3,0
407,"XOR(NOT(XOR(A, B)), D)","[1, 0, 0, 0]",XOR -> NOT -> XOR,6,8.5,3,1
408,"XOR(NOT(XNOR(A, B)), D)","[0, 1, 0, 1]",XOR -> NOT -> XNOR,6,8.5,3,0
409,"XOR(BUFFER(AND(A, B)), D)","[0, 0, 0, 0]",XOR -> BUFFER -> AND,4.7,7,3,0
410,"XOR(BUFFER(OR(A, B)), D)","[0, 1, 1, 1]",XOR -> BUFFER -> OR,4.7,7,3,0
411,"XOR(BUFFER(NOT(A)), D)","[0, 1, 0, 0]",XOR -> BUFFER -> NOT,3.7,5.5,3,1
412,"XOR(BUFFER(BUFFER(A)), D)","[0, 1, 0, 0]",XOR -> BUFFER -> BUFFER,2.9,4.5,3,1
413,"XOR(BUFFER(NAND(A, B)), D)","[1, 1, 1, 0]",XOR -> BUFFER -> NAND,4.2,6.5,3,0
414,"XOR(BUFFER(NOR(A, B)), D)","[1, 0, 0, 1]",XOR -> BUFFER -> NOR,4.2,6.5,3,0
415,"XOR(BUFFER(XOR(A, B)), D)","[1, 0, 0, 1]",XOR -> BUFFER -> XOR,5.2,7.5,3,0
416,"XOR(BUFFER(XNOR(A, B)), D)","[1, 0, 0, 1]",XOR -> BUFFER -> XNOR,5.2,7.5,3,0
417,"XOR(NAND(AND(A, B), C), D)","[0, 0, 0, 1]",XOR -> NAND -> AND,6,9,3,1
418,"XOR(NAND(OR(A, B), C), D)","[0, 0, 0, 1]",XOR -> NAND -> OR,6,9,3,1
419,"XOR(NAND(NOT(A), C), D)","[0, 0, 0, 0]",XOR -> NAND -> NOT,5,7.5,3,1
420,"XOR(NAND(BUFFER(A), C), D)","[0, 1, 1, 1]",XOR -> NAND -> BUFFER,4.2,6.5,3,0
421,"XOR(NAND(NAND(A, B), C), D)","[1, 0, 1, 0]",XOR -> NAND -> NAND,5.5,8.5,3,0
422,"XOR(NAND(NOR(A, B), C), D)","[0, 1, 1, 0]",XOR -> NAND -> NOR,5.5,8.5,3,1
423,"XOR(NAND(XOR(A, B), C), D)","[0, 1, 0, 0]",XOR -> NAND -> XOR,6.5,9.5,3,1
424,"XOR(NAND(XNOR(A, B), C), D)","[1, 1, 0, 0]",XOR -> NAND -> XNOR,6.5,9.5,3,1
425,"XOR(NOR(AND(A, B), C), D)","[0, 0, 1, 0]",XOR -> NOR -> AND,6,9,3,0
426,"XOR(NOR(OR(A, B), C), D)","[1, 1, 0, 0]",XOR -> NOR -> OR,6,9,3,0
427,"XOR(NOR(NOT(A), C), D)","[1, 0, 1, 0]",XOR -> NOR -> NOT,5,7.5,3,0
428,"XOR(NOR(BUFFER(A), C), D)","[1, 0, 1, 1]",XOR -> NOR -> BUFFER,4.2,6.5,3,1
429,"XOR(NOR(NAND(A, B), C), D)","[1, 1, 0, 0]",XOR -> NOR -> NAND,5.5,8.5,3,0
430,"XOR(NOR(NOR(A, B), C), D)","[1, 1, 1, 0]",XOR -> NOR -> NOR,5.5,8.5,3,1
431,"XOR(NOR(XOR(A, B), C), D)","[0, 0, 1, 0]",XOR -> NOR -> XOR,6.5,9.5,3,0
432,"XOR(NOR(XNOR(A, B), C), D)","[1, 0, 1, 1]",XOR -> NOR -> XNOR,6.5,9.5,3,1
433,"XOR(XOR(AND(A, B), C), D)","[0, 0, 1, 0]",XOR -> XOR -> AND,7,10,3,1
434,"XOR(XOR(OR(A, B), C), D)","[1, 0, 0, 1]",XOR -> XOR -> OR,7,10,3,1
435,"XOR(XOR(NOT(A), C), D)","[0, 0, 1, 0]",XOR -> XOR -> NOT,6,8.5,3,0
436,"XOR(XOR(BUFFER(A), C), D)","[1, 1, 0, 0]",XOR -> XOR -> BUFFER,5.2,7.5,3,0
437,"XOR(XOR(NAND(A, B), C), D)","[1, 0, 1, 0]",XOR -> XOR -> NAND,6.5,9.5,3,0
438,"XOR(XOR(NOR(A, B), C), D)","[1, 1, 0, 0]",XOR -> XOR -> NOR,6.5,9.5,3,1
439,"XOR(XOR(XOR(A, B), C), D)","[1, 0, 0, 1]",XOR -> XOR -> XOR,7.5,10.5,3,0
440,"XOR(XOR(XNOR(A, B), C), D)","[0, 1, 0, 1]",XOR -> XOR -> XNOR,7.5,10.5,3,1
441,"XOR(XNOR(AND(A, B), C), D)","[1, 0, 0, 0]",XOR -> XNOR -> AND,7,10,3,1
442,"XOR(XNOR(OR(A, B), C), D)","[1, 0, 0, 1]",XOR -> XNOR -> OR,7,10,3,0
443,"XOR(XNOR(NOT(A), C), D)","[1, 0, 1, 1]",XOR -> XNOR -> NOT,6,8.5,3,0
444,"XOR(XNOR(BUFFER(A), C), D)","[1, 1, 1, 0]",XOR -> XNOR -> BUFFER,5.2,7.5,3,0
445,"XOR(XNOR(NAND(A, B), C), D)","[0, 0, 1, 1]",XOR -> XNOR -> NAND,6.5,9.5,3,1
446,"XOR(XNOR(NOR(A, B), C), D)","[0, 1, 0, 0]",XOR -> XNOR -> NOR,6.5,9.5,3,1
447,"XOR(XNOR(XOR(A, B), C), D)","[0, 1, 1, 1]",XOR -> XNOR -> XOR,7.5,10.5,3,0
448,"XOR(XNOR(XNOR(A, B), C), D)","[1, 1, 1, 1]",XOR -> XNOR -> XNOR,7.5,10.5,3,0
449,"XNOR(AND(AND(A, B), C), D)","[1, 0, 0, 0]",XNOR -> AND -> AND,6.5,9.5,3,1
450,"XNOR(AND(OR(A, B), C), D)","[1, 0, 0, 0]",XNOR -> AND -> OR,6.5,9.5,3,1
451,"XNOR(AND(NOT(A), C), D)","[1, 0, 1, 1]",XNOR -> AND -> NOT,5.5,8,3,0
452,"XNOR(AND(BUFFER(A), C), D)","[1, 0, 1, 0]",XNOR -> AND -> BUFFER,4.7,7,3,0
453,"XNOR(AND(NAND(A, B), C), D)","[1, 0, 0, 1]",XNOR -> AND -> NAND,6,9,3,1
454,"XNOR(AND(NOR(A, B), C), D)","[1, 1, 1, 0]",XNOR -> AND -> NOR,6,9,3,0
455,"XNOR(AND(XOR(A, B), C), D)","[0, 0, 0, 1]",XNOR -> AND -> XOR,7,10,3,1
456,"XNOR(AND(XNOR(A, B), C), D)","[1, 0, 0, 1]",XNOR -> AND -> XNOR,7,10,3,1
457,"XNOR(OR(AND(A, B), C), D)","[0, 1, 1, 0]",XNOR -> OR -> AND,6.5,9.5,3,1
458,"XNOR(OR(OR(A, B), C), D)","[0, 0, 1, 1]",XNOR -> OR -> OR,6.5,9.5,3,1
